"VM";"Powerstate";"Template";"SRM Placeholder";"Config status";"DNS Name";"Connection state";"Guest state";"Heartbeat";"Consolidation Needed";"PowerOn";"Suspend time";"Creation date";"Change Version";"CPUs";"Memory";"NICs";"Disks";"min Required EVC Mode Key ";"Latency Sensitivity";"EnableUUID";"CBT";"Primary IP Address";"Network #1";"Network #2";"Network #3";"Network #4";"Network #5";"Network #6";"Network #7";"Network #8";"Num Monitors";"Video Ram KiB";"Resource pool";"Folder";"vApp";"DAS protection";"FT State";"FT Latency";"FT Bandwidth";"FT Sec. Latency";"Provisioned MiB";"In Use MiB";"Unshared MiB";"HA Restart Priority";"HA Isolation Response";"HA VM Monitoring";"Cluster rule(s)";"Cluster rule name(s)";"Boot Required";"Boot delay";"Boot retry delay";"Boot retry enabled";"Boot BIOS setup";"Firmware";"HW version";"HW upgrade status";"HW upgrade policy";"HW target";"Path";"Log directory";"Snapshot directory";"Suspend directory";"Annotation";"FRBCK10";"Post-it";"Datacenter";"Cluster";"Host";"OS according to the configuration file";"OS according to the VMware Tools";"VM ID";"VM UUID";"VI SDK Server type";"VI SDK API Version";"VI SDK Server";"VI SDK UUID"
"Arteion - VDOC-CONVERT";"poweredOn";"False";"False";"green";"vdoc-convert.stago.grp";"connected";"running";"green";"False";"45277,2503472222";;"25569,0416666667";"45298,4114930556";"2";"3512";"1";"1";"intel-ivybridge";"normal";;"True";"172.31.136.203";"Vlan 136";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/STAGO-PROD";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production/Stago-Arteion";;"True";"notConfigured";"gray";"-1";"-1";"65033";"59272";"55679";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[pcc-008128] Arteion - VDOC-CONVERT/Arteion - VDOC-CONVERT.vmx";"[pcc-008128] Arteion - VDOC-CONVERT/";"[pcc-008128] Arteion - VDOC-CONVERT/";"[pcc-008128] Arteion - VDOC-CONVERT/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.71";"Microsoft Windows 10 (32-bit)";"Microsoft Windows 10 (32-bit)";"vm-415990";"420c8d14-ff98-9847-4826-e130b0ece328";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"Arteion - VDOC-DB";"poweredOn";"False";"False";"green";"vdoc-db.stago.grp";"connected";"running";"green";"False";"45277,2502430556";;"25569,0416666667";"45299,3715740741";"2";"6144";"1";"3";"intel-ivybridge";"normal";;"True";"172.31.136.202";"Vlan 136";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/STAGO-PROD";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production/Stago-Arteion";;"True";"notConfigured";"gray";"-1";"-1";"405652";"357868";"351609";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[ssd-014282] Arteion - VDOC-DB/Arteion - VDOC-DB.vmx";"[ssd-014282] Arteion - VDOC-DB/";"[ssd-014282] Arteion - VDOC-DB/";"[ssd-014282] Arteion - VDOC-DB/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.50";"Microsoft Windows Server 2016 or later (64-bit)";"Microsoft Windows Server 2016 or later (64-bit)";"vm-379497";"420cbecb-38a1-f1da-11b6-af92217b0a31";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"Arteion - VDOC-SRV";"poweredOn";"False";"False";"green";"VDOC-SRV.stago.grp";"connected";"running";"green";"False";"45277,2503240741";;"25569,0416666667";"45299,3715740741";"4";"6144";"1";"1";"intel-ivybridge";"normal";"True";"True";"172.31.136.201";"Vlan 136";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/STAGO-PROD";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production/Stago-Arteion";;"True";"notConfigured";"gray";"-1";"-1";"159827";"159272";"153045";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[pcc-008128] Arteion - VDOC-SRV/Arteion - VDOC-SRV.vmx";"[pcc-008128] Arteion - VDOC-SRV/";"[pcc-008128] Arteion - VDOC-SRV/";"[pcc-008128] Arteion - VDOC-SRV/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.50";"Microsoft Windows Server 2016 or later (64-bit)";"Microsoft Windows Server 2016 or later (64-bit)";"vm-415982";"420c272d-6beb-a4d7-1099-a6d7e31e475e";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"ASFWSMART";"poweredOn";"False";"False";"green";"ASFWSTAGO";"connected";"running";"green";"False";"45061,1553356481";;"25569,0416666667";"45299,3750347222";"4";"16384";"1";"7";"intel-broadwell";"normal";;"True";"172.31.100.10";"Vlan 303";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/STAGO-PROD";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production/Stago-Firewall";;"True";"notConfigured";"gray";"-1";"-1";"4049642";"3863785";"3846654";;;;;;"False";"0";"10000";"False";"False";"bios";"8";"none";"never";;"[pcc-008129] ASFWSMART/ASFWSMART.vmx";"[pcc-008129] ASFWSMART/";"[pcc-008129] ASFWSMART/";"[pcc-008129] ASFWSMART/";"FW G4 - SMS Management  NEW PROD  ? partir du 27.07.2019";;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.52";"Red Hat Enterprise Linux 6 (64-bit)";;"vm-50235";"4236b0d6-d10c-5821-2d17-ba812a134e8b";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"AUSPRADC001";"poweredOn";"False";"False";"green";"AUSPRADC001.au.stago.grp";"connected";"running";"green";"False";"45284,2504282407";;"44502,4143402778";"45297,9347337963";"2";"4096";"1";"2";"intel-ivybridge";"normal";"True";"True";"172.20.220.17";"Vlan 305";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production";;"True";"notConfigured";"gray";"-1";"-1";"168044";"137025";"132820";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[pcc-008010] AUSPRADC001/AUSPRADC001.vmx";"[pcc-008010] AUSPRADC001/";"[pcc-008010] AUSPRADC001/";"[pcc-008010] AUSPRADC001/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.71";"Microsoft Windows Server 2016 or later (64-bit)";"Microsoft Windows Server 2016 or later (64-bit)";"vm-361875";"423632fa-8bff-0f7c-1ffc-7b6ef85f1d70";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"CNSPRADC001";"poweredOn";"False";"False";"green";"CNSPRADC001.cn.stago.grp";"connected";"running";"green";"False";"45139,9271990741";;"44644,7665740741";"45298,1990625";"2";"4096";"1";"2";"intel-ivybridge";"normal";"True";"True";"172.20.220.16";"Vlan 305";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/STAGO-PROD";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production/Stago-Active-Directory";;"True";"notConfigured";"gray";"-1";"-1";"168034";"141087";"136892";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[pcc-006965] CNSPRADC001/CNSPRADC001.vmx";"[pcc-006965] CNSPRADC001/";"[pcc-006965] CNSPRADC001/";"[pcc-006965] CNSPRADC001/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.73";"Microsoft Windows Server 2016 or later (64-bit)";"Microsoft Windows Server 2016 or later (64-bit)";"vm-404261";"423600ba-7323-840d-6635-70f37b64de5b";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"CSIMONPSTA2";"poweredOn";"False";"False";"green";"csimonpsta2";"connected";"running";"green";"False";"44838,6069675926";;"44837,6206597222";"45299,3715740741";"4";"8192";"1";"1";"intel-ivybridge";"normal";;"True";"172.31.215.218";"STAGO-OVH-VLAN29";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/NIT-INFRA";"/pcc-178-33-102-147_datacenter4337/INFRA NIT/Supervision";;"True";"notConfigured";"gray";"-1";"-1";"90319";"12055";"3655";;;;;;"False";"0";"10000";"False";"False";"bios";"14";"none";"never";;"[ssd-017967] CSIMONPSTA2/CSIMONPSTA2.vmx";"[ssd-017967] CSIMONPSTA2/";"[ssd-017967] CSIMONPSTA2/";"[ssd-017967] CSIMONPSTA2/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.52";"Other Linux (64-bit)";"Debian GNU/Linux 11 (64-bit)";"vm-467803";"42364b3c-4427-fe8c-0dcd-cff8a569d6f5";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"CSIMONPSTA-NEW";"poweredOn";"False";"False";"green";"csimonpsta";"connected";"running";"green";"False";"44805,1960763889";;"25569,0416666667";"45299,3715740741";"8";"8192";"3";"2";"intel-ivybridge";"normal";;"True";"172.31.129.51";"STAGO-OVH-VLAN29";"Stago-Stockage-Vlan3000";"Vlan 61";;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/NIT-INFRA";"/pcc-178-33-102-147_datacenter4337/INFRA NIT/Supervision";;"True";"notConfigured";"gray";"-1";"-1";"111202";"48596";"39793";;;;;;"False";"3000";"10000";"False";"False";"bios";"11";"none";"never";;"[ssd-016714] CSIMONPSTA-NEW/CSIMONPSTA-NEW.vmx";"[ssd-016714] CSIMONPSTA-NEW/";"[ssd-016714] CSIMONPSTA-NEW/";"[ssd-016714] CSIMONPSTA-NEW/";"VM NEURONES - ADMIN";;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.52";"CentOS 4/5/6/7 (64-bit)";"CentOS 7 (64-bit)";"vm-13156";"423644a8-aaae-2a55-c53b-5550f9218333";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"Debian_9-OVH -Test-1";"poweredOn";"False";"False";"green";"template";"connected";"running";"green";"False";"44785,8371527778";;"44785,8336458333";"45299,3715740741";"4";"1024";"1";"1";"intel-ivybridge";"normal";;;"172.31.210.80";"Vlan 6";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources";"/pcc-178-33-102-147_datacenter4337";;"True";"notConfigured";"gray";"-1";"-1";"21572";"3317";"1744";;;;;;"False";"0";"10000";"False";"False";"bios";"10";"none";"never";;"[pcc-007522] Debian_9-OVH -Test-1/Debian_9-OVH -Test-1.vmx";"[pcc-007522] Debian_9-OVH -Test-1/";"[pcc-007522] Debian_9-OVH -Test-1/";"[pcc-007522] Debian_9-OVH -Test-1/";"Default root password: s0m3password";;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.52";"Other (32-bit)";"Other (32-bit)";"vm-450657";"42368436-62f3-b6c1-aa22-e89c243c1ed8";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"Debian_9-OVH-Test-2";"poweredOn";"False";"False";"green";"template";"connected";"running";"green";"False";"44785,8375462963";;"44785,8344791667";"45299,3715740741";"4";"1024";"1";"1";"intel-ivybridge";"normal";;;"172.31.210.81";"Vlan 6";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources";"/pcc-178-33-102-147_datacenter4337";;"True";"notConfigured";"gray";"-1";"-1";"21572";"3316";"1743";;;;;;"False";"0";"10000";"False";"False";"bios";"10";"none";"never";;"[pcc-007522] Debian_9-OVH-Test-2/Debian_9-OVH-Test-2.vmx";"[pcc-007522] Debian_9-OVH-Test-2/";"[pcc-007522] Debian_9-OVH-Test-2/";"[pcc-007522] Debian_9-OVH-Test-2/";"Default root password: s0m3password";;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.52";"Other (32-bit)";"Other (32-bit)";"vm-450658";"4236253c-2be8-d3b6-4313-5cd77c96cdfc";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"DESPRADC001";"poweredOn";"False";"False";"green";"DESPRADC001.de.eu.stago.grp";"connected";"running";"green";"False";"45284,7504282407";;"44645,4172800926";"45299,0151736111";"2";"4096";"1";"2";"intel-ivybridge";"normal";"True";"True";"172.20.220.18";"Vlan 305";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources/STAGO-PROD";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production/Stago-Active-Directory";;"True";"notConfigured";"gray";"-1";"-1";"168027";"138983";"134796";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[pcc-008129] DESPRADC001/DESPRADC001.vmx";"[pcc-008129] DESPRADC001/";"[pcc-008129] DESPRADC001/";"[pcc-008129] DESPRADC001/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.76";"Microsoft Windows Server 2016 or later (64-bit)";"Microsoft Windows Server 2016 or later (64-bit)";"vm-404262";"4236a74e-921f-a539-3c9d-da692a6b4122";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
"ESADA11";"poweredOn";"False";"False";"green";"ESADA11.es.eu.stago.grp";"connected";"running";"green";"False";"45270,750474537";;"44385,5050578704";"45299,3750462963";"2";"4096";"1";"2";"intel-ivybridge";"normal";"True";"True";"172.20.220.19";"Vlan 305";;;;;;;;"1";;"/pcc-178-33-102-147_datacenter4337/Cluster1/Resources";"/pcc-178-33-102-147_datacenter4337/INFRA STAGO/Production/Stago-Active-Directory";;"True";"notConfigured";"gray";"-1";"-1";"168027";"146024";"141837";;;;;;"False";"0";"10000";"False";"False";"bios";"11";"none";"never";;"[ssd-017937] ESADA11/ESADA11.vmx";"[ssd-017937] ESADA11/";"[ssd-017937] ESADA11/";"[ssd-017937] ESADA11/";;;;"pcc-178-33-102-147_datacenter4337";"Cluster1";"172.17.20.51";"Microsoft Windows Server 2016 or later (64-bit)";"Microsoft Windows Server 2016 or later (64-bit)";"vm-326807";"4236b6ad-a6b6-195c-ed54-96a4beadf70e";"VMware vCenter Server 7.0.3 build-20845200";;"pcc-178-33-102-147.ovh.com";"pcc-178-33-102-147.ovh.com"
